iter	Logloss
0	0.6908782698
1	0.6879508924
2	0.6860235768
3	0.6825637808
4	0.6799749605
5	0.6775922727
6	0.6754486594
7	0.6737397519
8	0.670628101
9	0.6682809451
10	0.665688512
11	0.6639521846
12	0.6620412583
13	0.6603934872
14	0.6582393418
15	0.655989112
16	0.6526541248
17	0.6503130245
18	0.6483879
19	0.646489268
20	0.6445059995
21	0.6422733759
22	0.6400128052
23	0.6379819793
24	0.6358287985
25	0.6336186965
26	0.6316245506
27	0.629941077
28	0.6277208433
29	0.6260863463
30	0.6243833765
31	0.622631677
32	0.6199449892
33	0.6183112691
34	0.6163449729
35	0.6137521784
36	0.6113802329
37	0.6095587869
38	0.605868795
39	0.6036063592
40	0.6020215809
41	0.6003678391
42	0.5984579295
43	0.5962476467
44	0.5937149306
45	0.5907251189
46	0.5880887697
47	0.5866569688
48	0.5852294644
49	0.5831701239
50	0.5816253821
51	0.5797970404
52	0.5777721673
53	0.5751788477
54	0.5717162957
55	0.5698338499
56	0.5682406714
57	0.5666531106
58	0.5649296731
59	0.5632248888
60	0.5615565946
61	0.5600337048
62	0.5578504016
63	0.556434684
64	0.5541059464
65	0.5524068524
66	0.5503577511
67	0.548520727
68	0.5461561888
69	0.5446172595
70	0.5423249384
71	0.5396342168
72	0.5383088112
73	0.5367555817
74	0.5346595496
75	0.5330463052
76	0.5306182116
77	0.5293419778
78	0.52770634
79	0.5259705265
80	0.5236866256
81	0.522341309
82	0.5201414049
83	0.5181506256
84	0.5164550593
85	0.5149406612
86	0.5134854446
87	0.5119534542
88	0.5101278136
89	0.5084987998
90	0.5071660171
91	0.505839923
92	0.5046250423
93	0.5029729197
94	0.5014994045
95	0.5000252197
96	0.4980036596
97	0.4967367232
98	0.4951331109
99	0.4939915011
100	0.4910724441
101	0.4898196379
102	0.4885384589
103	0.4873360197
104	0.4844617546
105	0.4828906278
106	0.4812369337
107	0.4791535457
108	0.4777100861
109	0.4762902459
110	0.4746880124
111	0.4734770924
112	0.470783782
113	0.4693079909
114	0.4680148284
115	0.4665753583
116	0.4647557984
117	0.4632429709
118	0.4613056501
119	0.4593817264
120	0.4576761415
121	0.4564327896
122	0.4537641307
123	0.4519293249
124	0.4505432079
125	0.4493800988
126	0.4479490856
127	0.4468355765
128	0.4450732062
129	0.4438830088
130	0.4417521457
131	0.4407554527
132	0.4396564702
133	0.4384849042
134	0.4368747294
135	0.435353747
136	0.4343586743
137	0.4331730813
138	0.4319464753
139	0.4309452156
140	0.4300347497
141	0.4287905981
142	0.4271340191
143	0.4260756234
144	0.4250903229
145	0.4238859981
146	0.4228167832
147	0.4216752261
148	0.419959571
149	0.4188759257
150	0.4173708737
151	0.4157647898
152	0.4147087266
153	0.4136451821
154	0.4124902626
155	0.4114235173
156	0.4105337302
157	0.4093637993
158	0.4082872331
159	0.4067929606
160	0.4056942711
161	0.4047401299
162	0.4036737055
163	0.4024889857
164	0.4014003028
165	0.4002696296
166	0.3989655544
167	0.3979972968
168	0.3970837901
169	0.3960343927
170	0.395123902
171	0.3941819191
172	0.3931328247
173	0.3912256579
174	0.3897309403
175	0.3886508932
176	0.3877784957
177	0.386698546
178	0.3854433477
179	0.384648942
180	0.3838867048
181	0.3829120984
182	0.3813444932
183	0.3801762432
184	0.3787323525
185	0.3777276228
186	0.3766445319
187	0.375553444
188	0.3738219529
189	0.372712338
190	0.3714938154
191	0.3705389977
192	0.3693517645
193	0.3685251306
194	0.3677831819
195	0.3668864121
196	0.3650898337
197	0.363446036
198	0.3625967969
199	0.3613578896
200	0.3606423785
201	0.3596070985
202	0.3585250497
203	0.3574736794
204	0.3562386413
205	0.3544821272
206	0.3534218252
207	0.3522618473
208	0.3505392383
209	0.3489442041
210	0.3480067799
211	0.3465248913
212	0.3458574156
213	0.3448196103
214	0.344060117
215	0.3432000081
216	0.3424772392
217	0.3416260699
218	0.3401584814
219	0.3382658869
220	0.337602967
221	0.3365536461
222	0.3354123573
223	0.3346766671
224	0.333874024
225	0.3327794979
226	0.3316686312
227	0.3309027721
228	0.3300151636
229	0.3291529457
230	0.3283124417
231	0.3275095383
232	0.3263128002
233	0.3254405141
234	0.3242385179
235	0.3233500123
236	0.3226108134
237	0.3218944033
238	0.3211159666
239	0.3203816444
240	0.3190454791
241	0.3184421887
242	0.317698881
243	0.3168881088
244	0.3161158959
245	0.3154191772
246	0.3146770676
247	0.3133058419
248	0.312647
249	0.3120170186
250	0.3110250274
251	0.3103919655
252	0.3090639661
253	0.3082487563
254	0.3070935299
255	0.3065794835
256	0.3058909088
257	0.3042303522
258	0.3036272476
259	0.3025798053
260	0.3020777096
261	0.3013583839
262	0.3000707597
263	0.2991515905
264	0.2984801511
265	0.2978410562
266	0.2968956858
267	0.2960529149
268	0.2954250326
269	0.2943568428
270	0.2936990668
271	0.2928223918
272	0.2921747436
273	0.2912344386
274	0.2905226241
275	0.2898260196
276	0.2891396393
277	0.2875885596
278	0.2865840515
279	0.2860966583
280	0.284873721
281	0.2842296908
282	0.2834105045
283	0.2827654441
284	0.2815518171
285	0.2803619723
286	0.2796251317
287	0.2787510405
288	0.2776625494
289	0.2766977827
290	0.2761552513
291	0.2752579619
292	0.2738946279
293	0.2725015173
294	0.2718222459
295	0.2709179769
296	0.2703719685
297	0.2695052832
298	0.2684782515
299	0.2680309713
300	0.2674289544
301	0.2667107721
302	0.2661836455
303	0.2656501323
304	0.2651087145
305	0.2644842317
306	0.2636313319
307	0.2625742435
308	0.2617710451
309	0.2611828655
310	0.2602434774
311	0.2591738532
312	0.2585555325
313	0.2580821355
314	0.2575735509
315	0.2570401063
316	0.256460462
317	0.2560421367
318	0.2554372986
319	0.2548000346
320	0.2542129685
321	0.2537293106
322	0.2532268693
323	0.2525268386
324	0.2519750436
325	0.2513863921
326	0.2507340064
327	0.249788927
328	0.2493221253
329	0.2488142987
330	0.2480940511
331	0.2473073612
332	0.2464137922
333	0.2459212442
334	0.2454315186
335	0.2447994123
336	0.2441808075
337	0.2434940298
338	0.2425572932
339	0.242177997
340	0.2417078276
341	0.2409235795
342	0.2403060029
343	0.2397904217
344	0.2393026272
345	0.2387028297
346	0.2382752399
347	0.2378069778
348	0.2370683004
349	0.2363659829
350	0.2359162003
351	0.2355141729
352	0.2349076927
353	0.2344005714
354	0.2337979267
355	0.2333641777
356	0.2329850793
357	0.2321460515
358	0.2313498199
359	0.2308081428
360	0.2303536594
361	0.2296830406
362	0.2292767227
363	0.228601253
364	0.2277420272
365	0.2273356905
366	0.2269406031
367	0.2265341739
368	0.2257811467
369	0.2252285441
370	0.2243309329
371	0.2239641537
372	0.2235455304
373	0.2229760408
374	0.2224707077
375	0.2218707561
376	0.2214119941
377	0.2210399022
378	0.2205583602
379	0.220160081
380	0.2196288144
381	0.219152308
382	0.2187698493
383	0.2181231653
384	0.2175599888
385	0.2170259073
386	0.2164938827
387	0.2161428198
388	0.2156641424
389	0.215185532
390	0.2145627717
391	0.2141907483
392	0.2136494026
393	0.2133271669
394	0.2127035151
395	0.2119954432
396	0.2116102144
397	0.2111435523
398	0.2106858164
399	0.2102492029
400	0.2098628297
401	0.2094043692
402	0.2085510542
403	0.2081445361
404	0.2076901486
405	0.2073294525
406	0.207012029
407	0.2065585161
408	0.2057994932
409	0.2053182771
410	0.204986693
411	0.2042512024
412	0.2035397142
413	0.2030657222
414	0.2025753463
415	0.2022593667
416	0.2017410606
417	0.2013121093
418	0.2007635007
419	0.2003941461
420	0.1995498543
421	0.199104099
422	0.1986989026
423	0.1983092065
424	0.1979377483
425	0.1976044878
426	0.1973240887
427	0.1969897211
428	0.1966308112
429	0.19623909
430	0.1959397867
431	0.1954971006
432	0.1950486392
433	0.194713666
434	0.1942830836
435	0.1939329068
436	0.1931759963
437	0.1926546608
438	0.1922866876
439	0.1919022252
440	0.1915042063
441	0.1911369383
442	0.1904454013
443	0.1900230532
444	0.1896253025
445	0.1892705739
446	0.1889240344
447	0.1886044557
448	0.1880560165
449	0.1877068087
450	0.1870117421
451	0.1866432726
452	0.1862864529
453	0.1859550064
454	0.1855685701
455	0.1852546935
456	0.1848723595
457	0.1845345035
458	0.1842566709
459	0.1840075269
460	0.1835656424
461	0.1832024708
462	0.1828468154
463	0.1825303276
464	0.1821669837
465	0.1817948093
466	0.1815213665
467	0.1812632451
468	0.1809958001
469	0.1804710309
470	0.1801051006
471	0.1798010275
472	0.1794762194
473	0.1790598889
474	0.1785539632
475	0.1782809054
476	0.1779985939
477	0.1773142164
478	0.1769020398
479	0.1766462381
480	0.1761324227
481	0.1758492321
482	0.1753319606
483	0.1750056386
484	0.1747127846
485	0.174350818
486	0.1740453084
487	0.1737100169
488	0.1733436709
489	0.1730385199
490	0.1727470234
491	0.1723688727
492	0.172091037
493	0.1714374835
494	0.1711168567
495	0.1707591146
496	0.1705162471
497	0.1701034213
498	0.1698223094
499	0.1694804226
500	0.1690061122
501	0.1685027445
502	0.1682241758
503	0.1674505502
504	0.1671049188
505	0.1667741746
506	0.1664988091
507	0.166286318
508	0.1659462715
509	0.1657246863
510	0.1655019393
511	0.165263704
512	0.1649038871
513	0.1645522187
514	0.1641618689
515	0.1638831452
516	0.1636639108
517	0.1631102552
518	0.1628036713
519	0.162454767
520	0.1618382752
521	0.1616082688
522	0.1613249938
523	0.1609887719
524	0.1607221062
525	0.1605304524
526	0.1602602869
527	0.1599452987
528	0.1596100077
529	0.1593363936
530	0.1589000394
531	0.1586376324
532	0.1580891525
533	0.1579040383
534	0.1576832746
535	0.157377093
536	0.1569961955
537	0.1567270239
538	0.1564715301
539	0.1561720808
540	0.1558883026
541	0.1552950596
542	0.1551180308
543	0.1548225979
544	0.1546001524
545	0.1543618962
546	0.1541226462
547	0.1539545044
548	0.1537084262
549	0.1534882968
550	0.153253141
551	0.1530160844
552	0.1525278598
553	0.1522567749
554	0.1516406412
555	0.1514348507
556	0.1510265484
557	0.1507830893
558	0.1505357772
559	0.1502964328
560	0.1496314252
561	0.149408856
562	0.1491132806
563	0.1484559029
564	0.1482815345
565	0.1479659234
566	0.1477338895
567	0.1474359095
568	0.1471854861
569	0.1470017597
570	0.1468105723
571	0.1463628719
572	0.1458180805
573	0.1456095869
574	0.1454112962
575	0.1451822792
576	0.1446992551
577	0.144500196
578	0.1442757537
579	0.1440684487
580	0.1436043585
581	0.1430866594
582	0.1428243592
583	0.1424513126
584	0.1422406783
585	0.1420420056
586	0.1418669805
587	0.1416666339
588	0.141450428
589	0.1411604722
590	0.1409019132
591	0.1406601191
592	0.1403024395
593	0.1397525758
594	0.139522854
595	0.1389231453
596	0.1386375989
597	0.1384588366
598	0.1381628136
599	0.1377634471
600	0.1375251586
601	0.137360466
602	0.1371897434
603	0.1370142236
604	0.1367742086
605	0.1364266311
606	0.1362371112
607	0.1360317245
608	0.1358324329
609	0.1356965015
610	0.135510019
611	0.1351688688
612	0.1348617673
613	0.1345947072
614	0.1341755683
615	0.1339802946
616	0.133818237
617	0.1333616644
618	0.1330486933
619	0.1328665877
620	0.1326227213
621	0.1324537814
622	0.1322367618
623	0.1320471197
624	0.1318388606
625	0.1316511363
626	0.131456778
627	0.1312696646
628	0.1308500464
629	0.1305191388
630	0.1303045774
631	0.1301532542
632	0.1299930756
633	0.1297614177
634	0.129604509
635	0.1292917942
636	0.1291083689
637	0.1289728468
638	0.1288234224
639	0.1286302904
640	0.1284396132
641	0.1282283112
642	0.1279852962
643	0.1275682603
644	0.1272484829
645	0.1269409254
646	0.1267744487
647	0.1264863114
648	0.1261233911
649	0.1257980525
650	0.1254796843
651	0.1253218561
652	0.1251489341
653	0.124967367
654	0.1245792508
655	0.124411722
656	0.1242747168
657	0.1237834081
658	0.1234796161
659	0.1232666244
660	0.1230173315
661	0.1228784353
662	0.122579743
663	0.1223621195
664	0.1221923585
665	0.1220666091
666	0.1217079788
667	0.1214910989
668	0.1213353048
669	0.1210390846
670	0.1208161344
671	0.1204468086
672	0.1200523128
673	0.1198657925
674	0.1195294872
675	0.1192904333
676	0.1191596548
677	0.1190170109
678	0.1187874188
679	0.11862954
680	0.1184534709
681	0.1182064126
682	0.1180241754
683	0.1178884779
684	0.1175893972
685	0.1173999682
686	0.1170576255
687	0.1168697039
688	0.11671539
689	0.1165831978
690	0.1164070989
691	0.1160885086
692	0.115916343
693	0.1157654653
694	0.1156326095
695	0.1154261972
696	0.1152081043
697	0.1150781751
698	0.1148929045
699	0.1147233864
700	0.1145381098
701	0.114360854
702	0.1140918116
703	0.1139333069
704	0.1138080736
705	0.1133543933
706	0.1132063965
707	0.1129367848
708	0.1127627959
709	0.1126303717
710	0.1124513194
711	0.1122863462
712	0.1120784769
713	0.1119688436
714	0.111752978
715	0.1115727911
716	0.1114135176
717	0.1111991465
718	0.1109349887
719	0.1108197471
720	0.1107042328
721	0.110560071
722	0.1103525157
723	0.1102253507
724	0.1100958313
725	0.1099623779
726	0.1098060682
727	0.109685949
728	0.1094794427
729	0.1091706877
730	0.1089752634
731	0.1088441198
732	0.1086386144
733	0.1084361811
734	0.1083066364
735	0.1081066961
736	0.1079608192
737	0.10780473
738	0.107671759
739	0.1075089097
740	0.1073799431
741	0.1072604949
742	0.1071233114
743	0.1069877108
744	0.1068664695
745	0.1067084685
746	0.1064708243
747	0.1063374316
748	0.1062209701
749	0.1059781204
750	0.1057914307
751	0.1056734582
752	0.1055581798
753	0.1054591775
754	0.1053253477
755	0.1051893741
756	0.1050333927
757	0.1048380544
758	0.1046588187
759	0.1045162727
760	0.104188708
761	0.1039507667
762	0.1037502378
763	0.1035352235
764	0.1032518725
765	0.1030572079
766	0.1027094478
767	0.102447324
768	0.102345863
769	0.1020728114
770	0.1019742404
771	0.101854146
772	0.1017352295
773	0.1015963212
774	0.1014851913
775	0.1012087859
776	0.101020513
777	0.1009034572
778	0.1007616942
779	0.1006309181
780	0.1005219864
781	0.1003308738
782	0.1001937193
783	0.1000741472
784	0.09996693184
785	0.09958904485
786	0.09946221684
787	0.09933368464
788	0.09915777644
789	0.09890652125
790	0.09876160224
791	0.09866205404
792	0.09856531844
793	0.09844841932
794	0.09825580046
795	0.09788684299
796	0.0977603217
797	0.09762146398
798	0.0973679627
799	0.09724931394
800	0.09700229069
801	0.09673547049
802	0.09664910436
803	0.09653546313
804	0.0964107804
805	0.09630774185
806	0.09613523508
807	0.09602004439
808	0.09590579296
809	0.09578791037
810	0.09567317193
811	0.09550816119
812	0.09533056989
813	0.0952256605
814	0.09512093912
815	0.09487402365
816	0.09474650125
817	0.09463917861
818	0.09454790875
819	0.09446162234
820	0.09422022949
821	0.09407297845
822	0.09392774627
823	0.09383912409
824	0.09375291616
825	0.09354140138
826	0.09326273923
827	0.09311030731
828	0.09287887166
829	0.09269316966
830	0.09257597849
831	0.09245366057
832	0.0922775055
833	0.09213375474
834	0.09194251051
835	0.09180807024
836	0.09156347116
837	0.09132267088
838	0.09121449739
839	0.09113295302
840	0.09089875619
841	0.09081071665
842	0.09064182167
843	0.09053550611
844	0.09043318431
845	0.09030771504
846	0.09021489918
847	0.08991582543
848	0.08982776503
849	0.08974007741
850	0.08966531008
851	0.08945971976
852	0.08937770675
853	0.08923681428
854	0.08911319127
855	0.0888747476
856	0.08877185732
857	0.08867178485
858	0.08853858014
859	0.08841444775
860	0.08832584073
861	0.08822273761
862	0.08810733706
863	0.08797091991
864	0.08780933842
865	0.08770789405
866	0.08763716891
867	0.08753972625
